rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
29,2018020427,/api/v1/game/2018020427/feed/live,R,20182019,2018-12-06T03:30:00Z,Final,7,Final,7,FALSE,2,9,15,5,league,16,Chicago Blackhawks,/api/v1/teams/16,4,15,10,5,league,24,Anaheim Ducks,/api/v1/teams/24,5046,Honda Center,/api/v1/venues/5046,/api/v1/game/2018020427/content
30,2018020438,/api/v1/game/2018020438/feed/live,R,20182019,2018-12-07T03:00:00Z,Final,7,Final,7,FALSE,3,9,16,5,league,16,Chicago Blackhawks,/api/v1/teams/16,4,16,13,1,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020438/content
31,2018020457,/api/v1/game/2018020457/feed/live,R,20182019,2018-12-09T23:00:00Z,Final,7,Final,7,FALSE,3,15,10,5,league,8,Montréal Canadiens,/api/v1/teams/8,2,9,17,5,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020457/content
32,2018020473,/api/v1/game/2018020473/feed/live,R,20182019,2018-12-12T01:00:00Z,Final,7,Final,7,FALSE,3,9,18,5,league,16,Chicago Blackhawks,/api/v1/teams/16,6,19,9,2,league,52,Winnipeg Jets,/api/v1/teams/52,5058,Bell MTS Place,/api/v1/venues/5058,/api/v1/game/2018020473/content
33,2018020476,/api/v1/game/2018020476/feed/live,R,20182019,2018-12-13T01:00:00Z,Final,7,Final,7,FALSE,3,13,11,6,league,5,Pittsburgh Penguins,/api/v1/teams/5,6,10,18,5,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020476/content
34,2018020493,/api/v1/game/2018020493/feed/live,R,20182019,2018-12-15T01:30:00Z,Final,7,Final,7,FALSE,4,21,9,2,league,52,Winnipeg Jets,/api/v1/teams/52,3,10,18,6,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020493/content
35,2018020509,/api/v1/game/2018020509/feed/live,R,20182019,2018-12-17T00:00:00Z,Final,7,Final,7,FALSE,7,18,11,5,league,28,San Jose Sharks,/api/v1/teams/28,3,10,19,6,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020509/content
36,2018020522,/api/v1/game/2018020522/feed/live,R,20182019,2018-12-19T01:30:00Z,Final,7,Final,7,FALSE,1,22,11,2,league,18,Nashville Predators,/api/v1/teams/18,2,11,19,6,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020522/content
37,2018020536,/api/v1/game/2018020536/feed/live,R,20182019,2018-12-21T01:30:00Z,Final,7,Final,7,FALSE,5,12,19,6,league,16,Chicago Blackhawks,/api/v1/teams/16,2,17,15,3,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020536/content
38,2018020544,/api/v1/game/2018020544/feed/live,R,20182019,2018-12-22T02:00:00Z,Final,7,Final,7,FALSE,2,13,19,6,league,16,Chicago Blackhawks,/api/v1/teams/16,1,19,11,6,league,21,Colorado Avalanche,/api/v1/teams/21,5064,Pepsi Center,/api/v1/venues/5064,/api/v1/game/2018020544/content
