gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
2018020813,/api/v1/game/2018020813/feed/live,R,20182019,2019-02-06T00:00:00Z,Final,7,Final,7,FALSE,4,26,21,6,league,12,Carolina Hurricanes,/api/v1/teams/12,0,28,19,6,league,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2018020813/content
2018020814,/api/v1/game/2018020814/feed/live,R,20182019,2019-02-06T00:00:00Z,Final,7,Final,7,FALSE,2,24,24,6,league,23,Vancouver Canucks,/api/v1/teams/23,3,29,18,6,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020814/content
2018020815,/api/v1/game/2018020815/feed/live,R,20182019,2019-02-06T00:30:00Z,Final,7,Final,7,FALSE,1,21,24,9,league,24,Anaheim Ducks,/api/v1/teams/24,4,30,18,6,league,8,Montréal Canadiens,/api/v1/teams/8,NA,Centre Bell,/api/v1/venues/null,/api/v1/game/2018020815/content
2018020816,/api/v1/game/2018020816/feed/live,R,20182019,2019-02-06T00:30:00Z,Final,7,Final,7,FALSE,3,30,21,4,league,54,Vegas Golden Knights,/api/v1/teams/54,2,39,11,3,league,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2018020816/content
2018020817,/api/v1/game/2018020817/feed/live,R,20182019,2019-02-06T01:00:00Z,Final,7,Final,7,FALSE,2,23,25,5,league,53,Arizona Coyotes,/api/v1/teams/53,5,32,19,4,league,18,Nashville Predators,/api/v1/teams/18,5030,Bridgestone Arena,/api/v1/venues/5030,/api/v1/game/2018020817/content
2018020818,/api/v1/game/2018020818/feed/live,R,20182019,2019-02-06T01:00:00Z,Final,7,Final,7,FALSE,3,31,16,7,league,28,San Jose Sharks,/api/v1/teams/28,2,34,16,3,league,52,Winnipeg Jets,/api/v1/teams/52,5058,Bell MTS Place,/api/v1/venues/5058,/api/v1/game/2018020818/content
2018020819,/api/v1/game/2018020819/feed/live,R,20182019,2019-02-06T02:00:00Z,Final,7,Final,7,FALSE,6,29,20,3,league,29,Columbus Blue Jackets,/api/v1/teams/29,3,22,22,8,league,21,Colorado Avalanche,/api/v1/teams/21,5064,Pepsi Center,/api/v1/venues/5064,/api/v1/game/2018020819/content
2018020820,/api/v1/game/2018020820/feed/live,R,20182019,2019-02-06T02:00:00Z,Final,7,Final,7,FALSE,6,21,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,2,23,25,5,league,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2018020820/content
2018020821,/api/v1/game/2018020821/feed/live,R,20182019,2019-02-07T00:30:00Z,Final,7,Final,7,FALSE,4,19,29,5,league,9,Ottawa Senators,/api/v1/teams/9,5,33,17,3,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020821/content
2018020822,/api/v1/game/2018020822/feed/live,R,20182019,2019-02-07T01:00:00Z,Final,7,Final,7,FALSE,3,29,17,8,league,6,Boston Bruins,/api/v1/teams/6,4,23,22,8,league,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2018020822/content
2018020823,/api/v1/game/2018020823/feed/live,R,20182019,2019-02-08T00:00:00Z,Final,7,Final,7,FALSE,6,27,21,6,league,12,Carolina Hurricanes,/api/v1/teams/12,5,26,20,7,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020823/content
2018020824,/api/v1/game/2018020824/feed/live,R,20182019,2019-02-08T00:00:00Z,Final,7,Final,7,FALSE,2,28,19,7,league,5,Pittsburgh Penguins,/api/v1/teams/5,3,22,22,8,league,13,Florida Panthers,/api/v1/teams/13,5027,BB&T Center,/api/v1/venues/5027,/api/v1/game/2018020824/content
2018020825,/api/v1/game/2018020825/feed/live,R,20182019,2019-02-08T00:00:00Z,Final,7,Final,7,FALSE,2,31,16,6,league,2,New York Islanders,/api/v1/teams/2,1,20,25,8,league,1,New Jersey Devils,/api/v1/teams/1,NA,Prudential Center,/api/v1/venues/null,/api/v1/game/2018020825/content
2018020826,/api/v1/game/2018020826/feed/live,R,20182019,2019-02-08T00:00:00Z,Final,7,Final,7,FALSE,3,23,27,4,league,26,Los Angeles Kings,/api/v1/teams/26,2,24,23,7,league,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2018020826/content
2018020827,/api/v1/game/2018020827/feed/live,R,20182019,2019-02-08T00:00:00Z,Final,7,Final,7,FALSE,3,22,22,9,league,21,Colorado Avalanche,/api/v1/teams/21,4,30,18,6,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020827/content
2018020828,/api/v1/game/2018020828/feed/live,R,20182019,2019-02-08T00:30:00Z,Final,7,Final,7,FALSE,2,34,17,3,league,52,Winnipeg Jets,/api/v1/teams/52,5,31,18,6,league,8,Montréal Canadiens,/api/v1/teams/8,NA,Centre Bell,/api/v1/venues/null,/api/v1/game/2018020828/content
2018020829,/api/v1/game/2018020829/feed/live,R,20182019,2019-02-08T00:30:00Z,Final,7,Final,7,FALSE,0,21,25,9,league,24,Anaheim Ducks,/api/v1/teams/24,4,20,29,5,league,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2018020829/content
2018020830,/api/v1/game/2018020830/feed/live,R,20182019,2019-02-08T00:30:00Z,Final,7,Final,7,FALSE,4,31,21,4,league,54,Vegas Golden Knights,/api/v1/teams/54,3,21,26,7,league,17,Detroit Red Wings,/api/v1/teams/17,5145,Little Caesars Arena,/api/v1/venues/5145,/api/v1/game/2018020830/content
2018020831,/api/v1/game/2018020831/feed/live,R,20182019,2019-02-08T00:30:00Z,Final,7,Final,7,FALSE,1,25,22,5,league,19,St. Louis Blues,/api/v1/teams/19,0,39,11,4,league,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2018020831/content
2018020832,/api/v1/game/2018020832/feed/live,R,20182019,2019-02-08T01:00:00Z,Final,7,Final,7,FALSE,2,28,21,5,league,25,Dallas Stars,/api/v1/teams/25,3,33,19,4,league,18,Nashville Predators,/api/v1/teams/18,5030,Bridgestone Arena,/api/v1/venues/5030,/api/v1/game/2018020832/content
2018020833,/api/v1/game/2018020833/feed/live,R,20182019,2019-02-08T01:00:00Z,Final,7,Final,7,FALSE,4,24,25,5,league,22,Edmonton Oilers,/api/v1/teams/22,1,26,23,5,league,30,Minnesota Wild,/api/v1/teams/30,5098,Xcel Energy Center,/api/v1/venues/5098,/api/v1/game/2018020833/content
2018020834,/api/v1/game/2018020834/feed/live,R,20182019,2019-02-08T01:30:00Z,Final,7,Final,7,FALSE,3,24,24,7,league,23,Vancouver Canucks,/api/v1/teams/23,4,22,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020834/content
2018020835,/api/v1/game/2018020835/feed/live,R,20182019,2019-02-08T02:00:00Z,Final,7,Final,7,FALSE,5,32,16,7,league,28,San Jose Sharks,/api/v1/teams/28,2,34,15,5,league,20,Calgary Flames,/api/v1/teams/20,5075,Scotiabank Saddledome,/api/v1/venues/5075,/api/v1/game/2018020835/content
2018020836,/api/v1/game/2018020836/feed/live,R,20182019,2019-02-08T02:00:00Z,Final,7,Final,7,FALSE,4,30,20,3,league,29,Columbus Blue Jackets,/api/v1/teams/29,2,23,26,5,league,53,Arizona Coyotes,/api/v1/teams/53,5043,Gila River Arena,/api/v1/venues/5043,/api/v1/game/2018020836/content
2018020837,/api/v1/game/2018020837/feed/live,R,20182019,2019-02-09T01:00:00Z,Final,7,Final,7,FALSE,3,28,21,6,league,12,Carolina Hurricanes,/api/v1/teams/12,0,23,23,8,league,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2018020837/content
2018020838,/api/v1/game/2018020838/feed/live,R,20182019,2019-02-09T18:00:00Z,Final,7,Final,7,FALSE,4,23,27,5,league,26,Los Angeles Kings,/api/v1/teams/26,5,30,17,8,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020838/content
2018020839,/api/v1/game/2018020839/feed/live,R,20182019,2019-02-09T18:00:00Z,Final,7,Final,7,FALSE,1,21,27,7,league,17,Detroit Red Wings,/api/v1/teams/17,3,27,20,7,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020839/content
2018020840,/api/v1/game/2018020840/feed/live,R,20182019,2019-02-09T18:00:00Z,Final,7,Final,7,FALSE,4,27,23,5,league,30,Minnesota Wild,/api/v1/teams/30,2,20,26,8,league,1,New Jersey Devils,/api/v1/teams/1,NA,Prudential Center,/api/v1/venues/null,/api/v1/game/2018020840/content
2018020841,/api/v1/game/2018020841/feed/live,R,20182019,2019-02-09T18:00:00Z,Final,7,Final,7,FALSE,3,22,22,10,league,21,Colorado Avalanche,/api/v1/teams/21,4,32,16,6,league,2,New York Islanders,/api/v1/teams/2,5026,Barclays Center,/api/v1/venues/5026,/api/v1/game/2018020841/content
2018020842,/api/v1/game/2018020842/feed/live,R,20182019,2019-02-09T18:00:00Z,Final,7,Final,7,FALSE,2,21,26,9,league,24,Anaheim Ducks,/api/v1/teams/24,6,25,23,7,league,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2018020842/content
2018020843,/api/v1/game/2018020843/feed/live,R,20182019,2019-02-09T19:00:00Z,Final,7,Final,7,FALSE,2,34,18,3,league,52,Winnipeg Jets,/api/v1/teams/52,5,21,29,5,league,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2018020843/content
2018020844,/api/v1/game/2018020844/feed/live,R,20182019,2019-02-09T19:00:00Z,Final,7,Final,7,FALSE,2,33,20,4,league,18,Nashville Predators,/api/v1/teams/18,3,26,22,5,league,19,St. Louis Blues,/api/v1/teams/19,5076,Enterprise Center,/api/v1/venues/5076,/api/v1/game/2018020844/content
2018020845,/api/v1/game/2018020845/feed/live,R,20182019,2019-02-09T21:00:00Z,Final,7,Final,7,FALSE,2,28,22,5,league,25,Dallas Stars,/api/v1/teams/25,3,24,26,5,league,53,Arizona Coyotes,/api/v1/teams/53,5043,Gila River Arena,/api/v1/venues/5043,/api/v1/game/2018020845/content
2018020846,/api/v1/game/2018020846/feed/live,R,20182019,2019-02-10T00:00:00Z,Final,7,Final,7,FALSE,4,34,17,3,league,10,Toronto Maple Leafs,/api/v1/teams/10,3,31,18,7,league,8,Montréal Canadiens,/api/v1/teams/8,NA,Centre Bell,/api/v1/venues/null,/api/v1/game/2018020846/content
2018020847,/api/v1/game/2018020847/feed/live,R,20182019,2019-02-10T00:00:00Z,Final,7,Final,7,FALSE,4,28,20,7,league,5,Pittsburgh Penguins,/api/v1/teams/5,5,40,11,4,league,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2018020847/content
2018020848,/api/v1/game/2018020848/feed/live,R,20182019,2019-02-10T00:00:00Z,Final,7,Final,7,FALSE,5,23,22,8,league,13,Florida Panthers,/api/v1/teams/13,4,30,18,7,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020848/content
2018020849,/api/v1/game/2018020849/feed/live,R,20182019,2019-02-10T00:00:00Z,Final,7,Final,7,FALSE,5,33,16,7,league,28,San Jose Sharks,/api/v1/teams/28,2,24,26,5,league,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2018020849/content
2018020850,/api/v1/game/2018020850/feed/live,R,20182019,2019-02-10T03:00:00Z,Final,7,Final,7,FALSE,3,34,15,6,league,20,Calgary Flames,/api/v1/teams/20,4,25,24,7,league,23,Vancouver Canucks,/api/v1/teams/23,5073,Rogers Arena,/api/v1/venues/5073,/api/v1/game/2018020850/content
